id,continent,region,area,terrain,religion,climate,culture,goods,name,colonization difficulty,manpower,tax
55,America,NorthAmerica,Georgia,mountain,pagan,ncontinental,cherokee,cotton,Alabama,5,2,4
56,America,NorthAmerica,Georgia,forest,pagan,ncontinental,cherokee,grain,Tennessee,6,2,3
57,America,NorthAmerica,Louisiane,plains,pagan,ncontinental,mississippian,grain,Mississippi,4,2,3
58,America,NorthAmerica,Kansas,plains,pagan,tundra,mississippian,grain,Missouri,6,2,3
59,America,NorthAmerica,Illinois,plains,pagan,tundra,mississippian,grain,Illinois,5,2,4
60,America,NorthAmerica,Illinois,forest,pagan,tundra,shawnee,grain,Miamis,5,1,3
61,America,NorthAmerica,Appalachia,mountain,pagan,ncontinental,cherokee,fur,Alleghany,6,1,3
62,America,NorthAmerica,Appalachia,forest,pagan,temperate,creek,cotton,Carolina,5,2,5
63,America,NorthAmerica,Appalachia,forest,pagan,temperate,creek,cotton,Santee,5,2,4
64,America,NorthAmerica,Appalachia,marsh,pagan,temperate,creek,tobacco,Roanoke,6,2,6
65,America,NorthAmerica,Appalachia,forest,pagan,ncontinental,cherokee,tobacco,Catawba,5,1,4
66,America,NorthAmerica,Appalachia,mountain,pagan,ncontinental,cherokee,naval supplies,Appalache,7,1,3
67,America,NorthAmerica,Ohio,forest,pagan,tundra,shawnee,fur,Kentucky,5,2,3
68,America,NorthAmerica,Appalachia,marsh,pagan,ncontinental,lenape,tobacco,Chesapeake,4,2,6
69,America,NorthAmerica,Appalachia,plains,pagan,tundra,iroquois,tobacco,Powhatan,4,2,7
70,America,NorthAmerica,Appalachia,mountain,pagan,tundra,iroquois,iron,Shenandoah,5,2,5
71,America,NorthAmerica,Ohio,forest,pagan,tundra,shawnee,fur,Erie,6,5,3
72,America,NorthAmerica,Grand Lacs,plains,pagan,tundra,shawnee,fur,Hindua,6,2,3
73,America,NorthAmerica,Illinois,forest,pagan,tundra,shawnee,fur,Fox,5,2,3
74,America,NorthAmerica,Illinois,plains,pagan,tundra,sioux,fur,Milwaukee,5,2,3
75,America,NorthAmerica,Kansas,plains,pagan,tundra,sioux,grain,Iowa,6,1,3
76,America,NorthAmerica,Kansas,plains,pagan,arctic,sioux,grain,Minnesota,7,1,3
77,America,NorthAmerica,Plaines,forest,pagan,arctic,sioux,grain,Mesabi,7,1,2
78,America,NorthAmerica,Plaines,forest,pagan,arctic,sioux,grain,Duluth,6,2,3
79,America,NorthAmerica,Plaines,forest,pagan,tundra,sioux,iron,Wisconsin,7,2,2
80,America,NorthAmerica,Illinois,forest,pagan,tundra,sioux,fur,Oskosh,6,2,2
81,America,NorthAmerica,Grand Lacs,forest,pagan,tundra,shawnee,fur,Michilimakinak,6,1,3
82,America,NorthAmerica,Grand Lacs,plains,pagan,tundra,shawnee,fur,Detroit,5,1,3
83,America,NorthAmerica,Ohio,mountain,pagan,tundra,iroquois,fur,Irondekoit,7,2,2
84,America,NorthAmerica,Appalachia,forest,pagan,tundra,iroquois,fur,Tuscarora,5,2,4
85,America,NorthAmerica,Appalachia,forest,pagan,tundra,iroquois,grain,Susquehanna,5,2,6
86,America,NorthAmerica,Appalachia,forest,pagan,ncontinental,lenape,tobacco,Delaware,4,3,6
87,America,NorthAmerica,Appalachia,forest,pagan,ncontinental,lenape,fur,Manhattan,4,2,7
88,America,NorthAmerica,Appalachia,mountain,pagan,tundra,iroquois,fur,Catskill,5,1,4
89,America,NorthAmerica,Appalachia,mountain,pagan,tundra,iroquois,fur,Oswego,6,1,2
90,America,NorthAmerica,Ohio,mountain,pagan,tundra,iroquois,fur,Mohawk,7,2,3
91,America,NorthAmerica,Ohio,forest,pagan,tundra,iroquois,fur,Onondaga,7,2,3
92,America,NorthAmerica,Grand Lacs,forest,pagan,tundra,huron,fur,Niagara,4,2,4
93,America,NorthAmerica,Grand Lacs,forest,pagan,tundra,sioux,fur,Sault,7,1,3
94,America,NorthAmerica,Plaines,forest,pagan,arctic,huron,naval supplies,Superior,8,2,2
95,America,NorthAmerica,Grand Lacs,forest,pagan,arctic,huron,fur,Nipigon,7,1,2
96,America,NorthAmerica,Grand Lacs,forest,pagan,arctic,huron,fur,Nipissing,7,1,2
97,America,NorthAmerica,Grand Lacs,forest,pagan,tundra,huron,grain,Oshawa,4,2,3
98,America,NorthAmerica,Grand Lacs,forest,pagan,tundra,huron,fur,Huron,5,4,5
99,America,NorthAmerica,Appalachia,forest,pagan,tundra,huron,fur,Ticonderoga,5,2,5
100,America,NorthAmerica,Appalachia,forest,pagan,tundra,iroquois,fur,Adirondak,5,2,5
101,America,NorthAmerica,Maine,forest,pagan,tundra,iroquois,naval supplies,Sebago,6,1,4
102,America,NorthAmerica,Maine,forest,pagan,ncontinental,lenape,grain,Connecticut,5,2,5
103,America,NorthAmerica,Maine,forest,pagan,ncontinental,lenape,fish,Massachussetts,5,2,5
104,America,NorthAmerica,Maine,forest,pagan,tundra,abenaki,naval supplies,Penobscot,6,1,4
105,America,NorthAmerica,Quebec,mountain,pagan,tundra,abenaki,fur,Megantic,5,1,4
106,America,NorthAmerica,Quebec,forest,pagan,tundra,huron,fur,Hochelaga,5,1,4
107,America,NorthAmerica,Quebec,forest,pagan,arctic,huron,fur,Ottawa,5,2,5
108,America,NorthAmerica,Quebec,forest,pagan,arctic,naskapi,fur,Laurentia,5,1,3
109,America,NorthAmerica,Quebec,forest,pagan,tundra,naskapi,grain,Shawinigan,5,1,4
110,America,NorthAmerica,Quebec,forest,pagan,tundra,naskapi,naval supplies,Stadacone,5,3,5
111,America,NorthAmerica,Quebec,mountain,pagan,tundra,abenaki,fur,Bas St-Laurent,5,2,3
112,America,NorthAmerica,Maine,forest,pagan,tundra,abenaki,naval supplies,Bangor,4,2,3
113,America,NorthAmerica,Acadie,forest,pagan,tundra,abenaki,fish,Micmac,4,1,3
114,America,NorthAmerica,Acadie,mountain,pagan,tundra,abenaki,fish,Gaspesie,5,1,2
115,America,NorthAmerica,Acadie,plains,pagan,tundra,abenaki,salt,Acadie,4,1,2
116,America,NorthAmerica,Acadie,plains,pagan,ncontinental,abenaki,fish,Nova Scotia,3,1,3
117,America,NorthAmerica,Acadie,forest,pagan,ncontinental,abenaki,naval supplies,Isle Royale,4,1,2
118,America,NorthAmerica,Newfoundland,mountain,pagan,tundra,abenaki,fish,Gander,7,1,1
119,America,NorthAmerica,Newfoundland,forest,pagan,ncontinental,abenaki,fish,Placentia,6,1,2
120,America,NorthAmerica,Newfoundland,forest,pagan,tundra,abenaki,fish,Wabana,6,1,1
121,America,NorthAmerica,Quebec,forest,pagan,arctic,naskapi,fur,Saguenay,6,1,2
122,America,NorthAmerica,Quebec,forest,pagan,arctic,naskapi,fish,Manicouagan,6,1,1
123,America,NorthAmerica,Labrador,forest,pagan,arctic,naskapi,fish,Anticosti,8,1,1
124,America,NorthAmerica,Labrador,forest,pagan,arctic,naskapi,fish,Belle Isle,8,1,1
125,America,NorthAmerica,Labrador,forest,pagan,arctic,naskapi,naval supplies,Caniapiscau,8,1,1
126,America,NorthAmerica,Labrador,forest,pagan,arctic,inuit,fur,Nain,8,1,1
127,America,NorthAmerica,Labrador,mountain,pagan,arctic,inuit,fur,Torngat,9,1,1
128,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,inuit,fur,Ungava,9,1,1
129,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,inuit,copper,Minto,9,1,1
130,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,inuit,fish,Chisasibi,8,1,1
131,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,inuit,fur,Attawapiskat,8,1,1
132,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,cree,fur,Winisk,7,1,1
133,America,NorthAmerica,Plaines,forest,pagan,arctic,cree,fur,Athabaska,8,1,1
134,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,cree,fur,Chimo,7,1,1
135,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,cree,fur,Eskimalt,8,1,1
136,America,NorthAmerica,Hudson Bay,forest,pagan,arctic,cree,fur,Nueltin,8,1,1
137,America,Caribbean,Cuba,forest,pagan,tropical,arawak,tobacco,Havana,3,1,7
138,America,Caribbean,Cuba,forest,pagan,tropical,arawak,coffee,Moron,3,1,5
139,America,Caribbean,Cuba,forest,pagan,tropical,arawak,sugar,Guantanamo,3,1,5
140,America,Caribbean,Cuba,forest,pagan,tropical,arawak,sugar,Jamaica,4,1,6
141,America,Caribbean,Haiti,marsh,pagan,tropical,arawak,sugar,Les Cayes,6,1,7
142,America,Caribbean,Haiti,mountain,pagan,tropical,arawak,sugar,Tortuga,5,1,4
143,America,Caribbean,Haiti,forest,pagan,tropical,arawak,sugar,Barahona,5,1,5
144,America,Caribbean,Antilles,forest,pagan,tropical,arawak,sugar,Puerto Rico,4,1,5
145,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,St. Thomas,2,1,5
146,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,St. Martin,3,1,6
147,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,Antigua,2,1,6
148,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,Dominica,3,1,6
149,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,Guadeloupe,2,1,6
150,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,Martinique,2,1,6
151,America,Caribbean,Antilles,forest,pagan,tropical,arawak,sugar,Tobago & Trinidad,3,1,6
152,America,Caribbean,Antilles,forest,pagan,tropical,carib,sugar,Barbados,3,1,6
153,America,SouthAmerica,Orenoque,forest,pagan,tropical,arawak,sugar,Curacao,3,1,4
154,America,SouthAmerica,Orenoque,forest,pagan,tropical,arawak,sugar,Yaraguay,7,1,2
155,America,SouthAmerica,Orenoque,marsh,pagan,tropical,arawak,wool,Apure,8,1,2
156,America,SouthAmerica,Orenoque,forest,pagan,tropical,arawak,sugar,Tocuvo,7,1,3
157,America,SouthAmerica,Orenoque,marsh,pagan,tropical,chibcha,coffee,Maracaibo,6,1,3
158,America,SouthAmerica,Orenoque,marsh,pagan,tropical,chibcha,coffee,Cartagena,5,1,4
159,America,SouthAmerica,Orenoque,mountain,pagan,tropical,chibcha,gold,Yarumal,6,1,3
160,America,SouthAmerica,Orenoque,mountain,pagan,tropical,chibcha,coffee,Bogota,5,1,4
161,America,SouthAmerica,Orenoque,forest,pagan,tropical,chibcha,fur,Cupica,6,1,2
162,America,SouthAmerica,Ecuador,forest,pagan,tropical,quechua,grain,Cali,5,1,2
163,America,SouthAmerica,Ecuador,mountain,pagan,tropical,quechua,gold,Azuay,6,1,2
164,America,SouthAmerica,Ecuador,plains,pagan,tropical,quechua,grain,Guayaquil,4,1,3
165,America,SouthAmerica,Inca,plains,pagan,tropical,quechua,coffee,Cajamarca,3,1,4
166,America,SouthAmerica,Inca,plains,pagan,tropical,quechua,grain,Huanuco,4,1,4
167,America,SouthAmerica,Inca,mountain,pagan,temperate,quechua,gold,Ayacucho,4,1,3
168,America,SouthAmerica,Inca,plains,pagan,temperate,quechua,fish,Lima,4,1,6
169,America,SouthAmerica,Inca,mountain,pagan,temperate,quechua,gold,Cuzco,4,3,5
170,America,SouthAmerica,Inca,mountain,pagan,temperate,aymara,grain,Arequipa,4,1,5
171,America,SouthAmerica,Inca,mountain,pagan,temperate,aymara,coffee,Moquega,7,1,3
172,America,SouthAmerica,Inca,desert,pagan,desertic,aymara,copper,Arica,8,1,1
173,America,SouthAmerica,Chili,plains,pagan,desertic,mapuche,copper,Atacama,6,1,2
174,America,SouthAmerica,Chili,forest,pagan,temperate,mapuche,grain,Coquimbo,5,1,3
175,America,SouthAmerica,Chili,forest,pagan,temperate,mapuche,fish,Valparaiso,4,1,6
176,America,SouthAmerica,Chili,forest,pagan,temperate,mapuche,naval supplies,Talca,5,1,4
177,America,SouthAmerica,Chili,mountain,pagan,scontinental,mapuche,fish,Aisen,7,1,2
178,America,SouthAmerica,Orenoque,marsh,pagan,tropical,arawak,wool,Caribe,8,1,2
179,America,SouthAmerica,Guiana,marsh,pagan,tropical,arawak,fish,Cuyuni,8,1,2
180,America,SouthAmerica,Guiana,forest,pagan,tropical,arawak,gold,Guyana,9,1,1
181,America,SouthAmerica,Guiana,marsh,pagan,tropical,arawak,sugar,Surinam,7,1,2
182,America,SouthAmerica,Guiana,marsh,pagan,tropical,arawak,sugar,Maroni,7,1,2
183,America,SouthAmerica,Guiana,marsh,pagan,tropical,arawak,fish,Amapa,7,1,2
184,America,SouthAmerica,Amazonia,forest,pagan,tropical,amazonian,fur,Manaus,9,1,1
185,America,SouthAmerica,Amazonia,forest,pagan,tropical,amazonian,wool,Solimoes,9,1,1
186,America,NorthAmerica,Alaska,mountain,pagan,arctic,inuit,fur,Aleutes,8,1,1
187,America,SouthAmerica,Ecuador,forest,pagan,tropical,amazonian,copper,Pastaza,5,1,3
188,America,SouthAmerica,Amazonia,marsh,pagan,tropical,amazonian,naval supplies,Mirim,9,1,1
189,America,SouthAmerica,Amazonia,forest,pagan,tropical,amazonian,naval supplies,Macacos,9,1,1
190,America,SouthAmerica,Amazonia,forest,pagan,tropical,amazonian,fur,Japura,9,1,1
191,America,SouthAmerica,Amazonia,forest,pagan,tropical,amazonian,naval supplies,Canuma,9,1,1
192,America,SouthAmerica,Amazonia,forest,pagan,tropical,aymara,grain,Taqari,9,1,1
193,America,SouthAmerica,Inca,mountain,pagan,temperate,aymara,wool,Titicaca,6,1,3
194,America,SouthAmerica,Inca,mountain,pagan,temperate,aymara,gold,Potosi,5,1,3
195,America,SouthAmerica,Amazonia,forest,pagan,tropical,tapuia,gold,Mato Grosso,9,1,1
196,America,SouthAmerica,Amazonia,forest,pagan,tropical,tapuia,grain,Goias,9,1,1
197,America,SouthAmerica,Amazonia,marsh,pagan,tropical,tapuia,fur,Caracas,9,1,1
198,America,SouthAmerica,Belem,marsh,pagan,tropical,tupi,sugar,Marajo,7,1,4
199,America,SouthAmerica,Belem,forest,pagan,tropical,tupi,tobacco,Para,6,1,2
200,America,SouthAmerica,Recife,forest,pagan,tropical,tapuia,sugar,Tiracambu,5,1,4
201,America,SouthAmerica,Recife,forest,pagan,tropical,tapuia,grain,Maranhao,5,1,3
202,America,SouthAmerica,Recife,forest,pagan,tropical,tupi,sugar,Parnaiba,5,1,4
203,America,SouthAmerica,Recife,forest,pagan,tropical,tupi,sugar,Recife,5,1,5
204,America,SouthAmerica,Recife,forest,pagan,tropical,tapuia,tobacco,Iguato,5,1,3
205,America,SouthAmerica,Recife,forest,pagan,tropical,tupi,tobacco,Pernambuc,5,1,6
206,America,SouthAmerica,Bahia,forest,pagan,tropical,tapuia,grain,Alagoas,5,1,3
207,America,SouthAmerica,Bahia,forest,pagan,tropical,tupi,sugar,Diamentina,5,1,2
208,America,SouthAmerica,Bahia,forest,pagan,tropical,tapuia,copper,Minas Gerais,5,1,2
209,America,SouthAmerica,Bahia,forest,pagan,tropical,tapuia,sugar,Salvador,4,1,3
210,America,SouthAmerica,Bahia,forest,pagan,tropical,tupi,tobacco,Itaimas,4,1,4
211,America,SouthAmerica,Rio,forest,pagan,tropical,tupi,sugar,Niteroi,5,1,5
212,America,SouthAmerica,Rio,plains,pagan,tropical,tapuia,grain,Araxa,6,1,2
213,America,SouthAmerica,Rio,plains,pagan,tropical,tupi,grain,Curitiba,4,1,5
214,America,SouthAmerica,Rio,forest,pagan,tropical,tapuia,grain,Cangucu,4,1,3
215,America,SouthAmerica,La Plata,plains,pagan,temperate,tapuia,grain,Uruguay,3,1,6
216,America,SouthAmerica,Paraguay,forest,pagan,tropical,guarani,grain,Artigas,6,1,2
217,America,SouthAmerica,La Plata,forest,pagan,temperate,guarani,wool,Parana,4,1,5
218,America,SouthAmerica,Paraguay,forest,pagan,tropical,guarani,grain,Neembucu,5,1,4
219,America,SouthAmerica,Inca,mountain,pagan,temperate,wichi,gold,Tucuman,5,1,2
220,America,SouthAmerica,Inca,plains,pagan,tropical,wichi,wool,Jujuy,7,1,3
221,America,SouthAmerica,Paraguay,forest,pagan,temperate,wichi,grain,Corrientes,5,1,3
222,America,SouthAmerica,La Plata,plains,pagan,temperate,guarani,grain,Rosario,3,1,5
223,America,SouthAmerica,La Plata,plains,pagan,temperate,guarani,fish,Aires,3,1,6
224,America,SouthAmerica,La Plata,plains,pagan,temperate,guarani,grain,Copetonas,3,1,4
225,America,SouthAmerica,Patagonia,plains,pagan,temperate,tehuelche,grain,San Matias,7,1,2
226,America,SouthAmerica,Patagonia,plains,pagan,temperate,tehuelche,grain,Chubut,8,1,2
227,America,SouthAmerica,Patagonia,plains,pagan,temperate,tehuelche,fish,Santa Cruz,8,1,1
228,America,SouthAmerica,Patagonia,mountain,pagan,scontinental,tehuelche,fish,Magallanes,9,1,1
229,America,SouthAmerica,Patagonia,mountain,pagan,scontinental,tehuelche,fish,Tierra del Fuego,9,1,1
230,America,SouthAmerica,Falklands,plains,pagan,scontinental,tehuelche,fish,The Falklands,8,1,1
231,Europe,BritishIsles,Ireland,marsh,catholic,temperate,celtic,fish,Connaught,0,1,5
232,Europe,BritishIsles,Ireland,mountain,catholic,temperate,celtic,cloth,Ulster,0,2,7
233,Europe,BritishIsles,Ireland,marsh,catholic,temperate,celtic,grain,Meath,0,2,5
234,Europe,BritishIsles,Ireland,mountain,catholic,temperate,celtic,fish,Leinster,0,2,6
235,Europe,BritishIsles,Ireland,mountain,catholic,temperate,celtic,fish,Munster,0,2,5
236,Europe,BritishIsles,Scotland,mountain,catholic,temperate,celtic,fish,The Highlands,0,3,3
237,Europe,BritishIsles,Scotland,mountain,catholic,temperate,celtic,wool,The Grampians,0,2,5
238,Europe,BritishIsles,Scotland,plains,catholic,temperate,english,fish,Lothian,0,3,6
239,Europe,BritishIsles,Scotland,mountain,catholic,temperate,english,iron,Strathclyde,0,2,7
240,Europe,BritishIsles,England,mountain,catholic,temperate,english,cloth,Northumberland,0,2,7
241,Europe,BritishIsles,England,plains,catholic,temperate,english,cloth,Yorkshire,0,3,9
242,Europe,BritishIsles,England,forest,catholic,temperate,english,iron,Lancashire,0,5,11
243,Europe,BritishIsles,England,mountain,catholic,temperate,celtic,iron,Wales,0,3,7
244,Europe,BritishIsles,England,plains,catholic,temperate,english,iron,Midlands,0,5,11
245,Europe,BritishIsles,England,plains,catholic,temperate,english,cloth,Lincoln,0,4,8
246,Europe,BritishIsles,England,plains,catholic,temperate,english,fish,Bristol,0,4,9
247,Europe,BritishIsles,England,marsh,catholic,temperate,english,grain,Anglia,0,8,16
248,Europe,BritishIsles,England,plains,catholic,temperate,english,grain,Kent,0,4,9
249,Europe,BritishIsles,England,forest,catholic,temperate,english,grain,Wessex,0,3,8
250,Europe,BritishIsles,England,plains,catholic,temperate,celtic,fish,Cornwall,0,2,8
251,Europe,Scandinavia,Denmark,plains,catholic,temperate,nordic,grain,Skane,0,5,15
252,Europe,Scandinavia,Sweden,forest,catholic,ncontinental,nordic,naval supplies,Smaland,0,2,4
253,Europe,Scandinavia,Sweden,forest,catholic,ncontinental,nordic,grain,Vaster gotland,0,2,6
254,Europe,Scandinavia,Sweden,forest,catholic,ncontinental,nordic,fish,Svealand,0,5,10
255,Europe,Scandinavia,Norway,mountain,catholic,ncontinental,nordic,naval supplies,Ostlandet,0,2,7
256,Europe,Scandinavia,Norway,mountain,catholic,tundra,nordic,fish,Bergenshus,0,2,6
257,Europe,Scandinavia,Sweden,forest,catholic,tundra,nordic,copper,Bergslagen,0,2,8
258,Europe,Scandinavia,Norway,mountain,catholic,tundra,nordic,fish,Trondelag,0,2,5
259,Europe,Scandinavia,Norway,mountain,catholic,tundra,ugric,fish,Narvik,0,1,2
260,Europe,Scandinavia,Sweden,marsh,catholic,tundra,ugric,iron,Lappland,0,1,1
261,Europe,Scandinavia,Norway,mountain,catholic,tundra,ugric,fish,Finnmark,0,1,1
262,Europe,EasternEurope,Russian North,mountain,orthodox,tundra,ugric,fur,Kola,0,1,4
263,Europe,Scandinavia,Finland,forest,catholic,tundra,ugric,fur,Osterbotten,0,1,1
264,Europe,Scandinavia,Finland,forest,catholic,tundra,ugric,naval supplies,Tavastland,0,1,1
265,Europe,Scandinavia,Finland,forest,catholic,tundra,ugric,naval supplies,Nyland,0,2,4
266,Europe,EasternEurope,Russian North,marsh,orthodox,tundra,ugric,naval supplies,Kexholm,0,2,5
267,Europe,EasternEurope,Russian North,forest,orthodox,tundra,ugric,fur,Olonets,0,4,5
268,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,naval supplies,Vologda,0,4,6
269,Europe,EasternEurope,Russian North,forest,orthodox,tundra,ugric,fur,Arkhangelsk,0,2,9
270,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Moscow,0,12,13
271,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,copper,Vladimir,0,8,8
272,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Nizhgorod,0,6,6
273,Europe,Scandinavia,Finland,forest,orthodox,tundra,ugric,iron,Savolaks,0,1,2
274,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,fur,Novgorod,0,8,14
275,Europe,EasternEurope,Baltic,marsh,orthodox,tundra,ugric,iron,Ingermanland,0,3,7
276,Europe,EasternEurope,Baltic,forest,catholic,tundra,ugric,grain,Estland,0,3,6
277,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Pskov,0,5,5
278,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Tver,0,5,5
279,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Tula,0,6,6
280,Europe,EasternEurope,Russia,forest,orthodox,tundra,russian,grain,Welikia,0,5,6
281,Europe,EasternEurope,Russia,forest,orthodox,tundra,lithuanian,iron,Polotsk,0,5,5
282,Europe,EasternEurope,Baltic,marsh,catholic,ncontinental,ugric,grain,Livland,0,5,6
283,Europe,EasternEurope,Baltic,forest,catholic,ncontinental,baltic,grain,Kurland,0,4,7
284,Europe,EasternEurope,Russia,forest,orthodox,tundra,lithuanian,naval supplies,Belarus,0,5,8
285,Europe,EasternEurope,Russia,plains,orthodox,tundra,russian,grain,Smolensk,0,5,6
286,Europe,EasternEurope,Russia,plains,orthodox,tundra,russian,grain,Kursk,0,5,4
287,Europe,EasternEurope,Russia,plains,orthodox,tundra,lithuanian,wool,Mozyr,0,5,3
288,Europe,EasternEurope,Poland,forest,catholic,tundra,lithuanian,grain,Lithuania,0,5,8
289,Europe,EasternEurope,Baltic,marsh,catholic,ncontinental,baltic,grain,Memel,0,4,6
