id,continent,region,area,terrain,religion,climate,culture,goods,name,colonization_difficulty,income,manpower,size_modifier
22,America,North America,Nevada,plains,pagan,temperate,navajo,wool,El_Paso,7,2,1,0.00
23,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Coahuilha,7,1,1,0.00
23,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Coahuilha,7,1,1,0.00
23,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Coahuilha,7,1,1,0.00
24,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Jalisco,3,5,1,0.00
24,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Jalisco,3,5,1,0.00
24,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Jalisco,3,5,1,0.00
25,America,Central America,Sonora,plains,pagan,temperate,aztec,gold,Saltillo,6,2,1,0.00
25,America,Central America,Sonora,plains,pagan,temperate,aztec,gold,Saltillo,6,2,1,0.00
25,America,Central America,Sonora,plains,pagan,temperate,aztec,gold,Saltillo,6,2,1,0.00
26,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Michoac�n,3,7,3,0.00
26,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Michoac�n,3,7,3,0.00
26,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Michoac�n,3,7,3,0.00
27,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Zacatecas,3,8,3,0.00
27,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Zacatecas,3,8,3,0.00
27,America,Central America,Azteca,mountain,pagan,temperate,aztec,gold,Zacatecas,3,8,3,0.00
28,America,Central America,Sonora,plains,pagan,temperate,aztec,sugar,Tampico,6,3,2,0.00
28,America,Central America,Sonora,plains,pagan,temperate,aztec,sugar,Tampico,6,3,2,0.00
28,America,Central America,Sonora,plains,pagan,temperate,aztec,sugar,Tampico,6,3,2,0.00
29,America,Central America,Azteca,plains,pagan,tropical,zapotec,grain,Tlaxcala,4,5,2,0.00
29,America,Central America,Azteca,plains,pagan,tropical,zapotec,grain,Tlaxcala,4,5,2,0.00
29,America,Central America,Azteca,plains,pagan,tropical,zapotec,grain,Tlaxcala,4,5,2,0.00
30,America,Central America,Azteca,plains,pagan,tropical,zapotec,fish,Atlixco,4,5,1,0.00
30,America,Central America,Azteca,plains,pagan,tropical,zapotec,fish,Atlixco,4,5,1,0.00
30,America,Central America,Azteca,plains,pagan,tropical,zapotec,fish,Atlixco,4,5,1,0.00
31,America,Central America,Azteca,mountain,pagan,tropical,zapotec,chinaware,Tehuantepec,3,3,1,0.00
31,America,Central America,Azteca,mountain,pagan,tropical,zapotec,chinaware,Tehuantepec,3,3,1,0.00
31,America,Central America,Azteca,mountain,pagan,tropical,zapotec,chinaware,Tehuantepec,3,3,1,0.00
32,America,Central America,Azteca,marsh,pagan,tropical,mayan,wool,Tehuacan,5,5,1,0.00
32,America,Central America,Azteca,marsh,pagan,tropical,mayan,wool,Tehuacan,5,5,1,0.00
32,America,Central America,Azteca,marsh,pagan,tropical,mayan,wool,Tehuacan,5,5,1,0.00
33,America,Central America,Costa Rica,mountain,pagan,tropical,mayan,chinaware,Guatemala,4,3,1,0.00
33,America,Central America,Costa Rica,mountain,pagan,tropical,mayan,chinaware,Guatemala,4,3,1,0.00
33,America,Central America,Costa Rica,mountain,pagan,tropical,mayan,chinaware,Guatemala,4,3,1,0.00
34,America,Central America,Costa Rica,marsh,pagan,tropical,mayan,chinaware,Campeche,6,4,1,0.00
34,America,Central America,Costa Rica,marsh,pagan,tropical,mayan,chinaware,Campeche,6,4,1,0.00
34,America,Central America,Costa Rica,marsh,pagan,tropical,mayan,chinaware,Campeche,6,4,1,0.00
35,America,Central America,Costa Rica,forest,pagan,tropical,mayan,chinaware,Yucatan,7,2,1,0.00
35,America,Central America,Costa Rica,forest,pagan,tropical,mayan,chinaware,Yucatan,7,2,1,0.00
35,America,Central America,Costa Rica,forest,pagan,tropical,mayan,chinaware,Yucatan,7,2,1,0.00
36,America,Central America,Costa Rica,forest,pagan,tropical,mesoamerican,wool,Honduras,5,3,1,0.00
36,America,Central America,Costa Rica,forest,pagan,tropical,mesoamerican,wool,Honduras,5,3,1,0.00
36,America,Central America,Costa Rica,forest,pagan,tropical,mesoamerican,wool,Honduras,5,3,1,0.00
37,America,Central America,Costa Rica,marsh,pagan,tropical,mesoamerican,wool,Nicaragua,6,1,1,0.00
37,America,Central America,Costa Rica,marsh,pagan,tropical,mesoamerican,wool,Nicaragua,6,1,1,0.00
37,America,Central America,Costa Rica,marsh,pagan,tropical,mesoamerican,wool,Nicaragua,6,1,1,0.00
38,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,grain,Mosquitos,7,3,1,0.00
38,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,grain,Mosquitos,7,3,1,0.00
38,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,grain,Mosquitos,7,3,1,0.00
39,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,naval_supplies,Isthmus,6,2,1,0.00
39,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,naval_supplies,Isthmus,6,2,1,0.00
39,America,Central America,Panama,marsh,pagan,tropical,mesoamerican,naval_supplies,Isthmus,6,2,1,0.00
40,America,North America,Texas,plains,pagan,temperate,navajo,wool,Pecos,6,2,1,0.00
40,America,North America,Texas,plains,pagan,temperate,navajo,wool,Pecos,6,2,1,0.00
40,America,North America,Texas,plains,pagan,temperate,navajo,wool,Pecos,6,2,1,0.00
41,America,North America,Texas,plains,pagan,temperate,navajo,wool,Rio_Grande,4,3,1,0.00
41,America,North America,Texas,plains,pagan,temperate,navajo,wool,Rio_Grande,4,3,1,0.00
41,America,North America,Texas,plains,pagan,temperate,navajo,wool,Rio_Grande,4,3,1,0.00
42,America,North America,Texas,plains,pagan,temperate,navajo,grain,Concho,5,2,1,0.00
42,America,North America,Texas,plains,pagan,temperate,navajo,grain,Concho,5,2,1,0.00
42,America,North America,Texas,plains,pagan,temperate,navajo,grain,Concho,5,2,1,0.00
43,America,North America,Texas,marsh,pagan,temperate,navajo,grain,Matagorda,5,3,1,0.00
43,America,North America,Texas,marsh,pagan,temperate,navajo,grain,Matagorda,5,3,1,0.00
43,America,North America,Texas,marsh,pagan,temperate,navajo,grain,Matagorda,5,3,1,0.00
44,America,North America,Texas,plains,pagan,temperate,navajo,grain,Wichita,5,3,1,0.00
44,America,North America,Texas,plains,pagan,temperate,navajo,grain,Wichita,5,3,1,0.00
44,America,North America,Texas,plains,pagan,temperate,navajo,grain,Wichita,5,3,1,0.00
45,America,North America,Louisiane,marsh,pagan,temperate,navajo,cotton,Bayou,6,5,1,0.00
45,America,North America,Louisiane,marsh,pagan,temperate,navajo,cotton,Bayou,6,5,1,0.00
45,America,North America,Louisiane,marsh,pagan,temperate,navajo,cotton,Bayou,6,5,1,0.00
46,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Biloxi,6,5,1,0.00
46,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Biloxi,6,5,1,0.00
46,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Biloxi,6,5,1,0.00
47,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Mobile,4,5,1,0.00
47,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Mobile,4,5,1,0.00
47,America,North America,Louisiane,marsh,pagan,temperate,creek,cotton,Mobile,4,5,1,0.00
48,America,North America,Florida,marsh,pagan,temperate,creek,cotton,Talahassee,5,4,1,0.00
48,America,North America,Florida,marsh,pagan,temperate,creek,cotton,Talahassee,5,4,1,0.00
48,America,North America,Florida,marsh,pagan,temperate,creek,cotton,Talahassee,5,4,1,0.00
49,America,North America,Florida,marsh,pagan,temperate,creek,naval_supplies,Seminole,7,2,1,0.00
49,America,North America,Florida,marsh,pagan,temperate,creek,naval_supplies,Seminole,7,2,1,0.00
49,America,North America,Florida,marsh,pagan,temperate,creek,naval_supplies,Seminole,7,2,1,0.00
50,America,North America,Florida,marsh,pagan,tropical,creek,fish,Everglades,8,1,1,0.00
50,America,North America,Florida,marsh,pagan,tropical,creek,fish,Everglades,8,1,1,0.00
50,America,North America,Florida,marsh,pagan,tropical,creek,fish,Everglades,8,1,1,0.00
51,America,North America,Louisiane,plains,pagan,temperate,navajo,cotton,Arkansas,5,3,1,0.00
51,America,North America,Louisiane,plains,pagan,temperate,navajo,cotton,Arkansas,5,3,1,0.00
51,America,North America,Louisiane,plains,pagan,temperate,navajo,cotton,Arkansas,5,3,1,0.00
52,America,North America,Louisiane,forest,pagan,ncontinental,cherokee,cotton,Yazoo,5,4,1,0.00
52,America,North America,Louisiane,forest,pagan,ncontinental,cherokee,cotton,Yazoo,5,4,1,0.00
52,America,North America,Louisiane,forest,pagan,ncontinental,cherokee,cotton,Yazoo,5,4,1,0.00
53,America,North America,Louisiane,forest,pagan,temperate,cherokee,cotton,Tuscaloosa,5,4,2,0.00
53,America,North America,Louisiane,forest,pagan,temperate,cherokee,cotton,Tuscaloosa,5,4,2,0.00
53,America,North America,Louisiane,forest,pagan,temperate,cherokee,cotton,Tuscaloosa,5,4,2,0.00
54,America,North America,Georgia,marsh,pagan,temperate,creek,cotton,Savannah,5,5,2,0.00
54,America,North America,Georgia,marsh,pagan,temperate,creek,cotton,Savannah,5,5,2,0.00
54,America,North America,Georgia,marsh,pagan,temperate,creek,cotton,Savannah,5,5,2,0.00
55,America,North America,Georgia,mountain,pagan,ncontinental,cherokee,cotton,Alabama,5,4,2,0.00
55,America,North America,Georgia,mountain,pagan,ncontinental,cherokee,cotton,Alabama,5,4,2,0.00
55,America,North America,Georgia,mountain,pagan,ncontinental,cherokee,cotton,Alabama,5,4,2,0.00
56,America,North America,Georgia,forest,pagan,ncontinental,cherokee,grain,Tennessee,6,3,2,0.00
56,America,North America,Georgia,forest,pagan,ncontinental,cherokee,grain,Tennessee,6,3,2,0.00
56,America,North America,Georgia,forest,pagan,ncontinental,cherokee,grain,Tennessee,6,3,2,0.00
57,America,North America,Louisiane,plains,pagan,ncontinental,native,grain,Mississippi,4,3,2,0.00
57,America,North America,Louisiane,plains,pagan,ncontinental,native,grain,Mississippi,4,3,2,0.00
57,America,North America,Louisiane,plains,pagan,ncontinental,native,grain,Mississippi,4,3,2,0.00
58,America,North America,Kansas,plains,pagan,tundra,native,grain,Missouri,6,3,2,0.00
58,America,North America,Kansas,plains,pagan,tundra,native,grain,Missouri,6,3,2,0.00
58,America,North America,Kansas,plains,pagan,tundra,native,grain,Missouri,6,3,2,0.00
59,America,North America,Illinois,forest,pagan,tundra,native,grain,Illinois,5,4,2,0.00
59,America,North America,Illinois,forest,pagan,tundra,native,grain,Illinois,5,4,2,0.00
59,America,North America,Illinois,forest,pagan,tundra,native,grain,Illinois,5,4,2,0.00
60,America,North America,Illinois,forest,pagan,tundra,shawnee,grain,Miamis,5,3,1,0.00
60,America,North America,Illinois,forest,pagan,tundra,shawnee,grain,Miamis,5,3,1,0.00
60,America,North America,Illinois,forest,pagan,tundra,shawnee,grain,Miamis,5,3,1,0.00
61,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,fur,Alleghany,6,3,1,0.00
61,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,fur,Alleghany,6,3,1,0.00
61,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,fur,Alleghany,6,3,1,0.00
62,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Carolina,5,5,2,0.00
62,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Carolina,5,5,2,0.00
62,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Carolina,5,5,2,0.00
63,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Santee,5,4,2,0.00
63,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Santee,5,4,2,0.00
63,America,North America,Appalachia,forest,pagan,temperate,creek,cotton,Santee,5,4,2,0.00
64,America,North America,Appalachia,marsh,pagan,temperate,creek,tobacco,Roanoke,6,6,2,0.00
64,America,North America,Appalachia,marsh,pagan,temperate,creek,tobacco,Roanoke,6,6,2,0.00
64,America,North America,Appalachia,marsh,pagan,temperate,creek,tobacco,Roanoke,6,6,2,0.00
65,America,North America,Appalachia,forest,pagan,ncontinental,cherokee,tobacco,Catawba,5,4,1,0.00
65,America,North America,Appalachia,forest,pagan,ncontinental,cherokee,tobacco,Catawba,5,4,1,0.00
65,America,North America,Appalachia,forest,pagan,ncontinental,cherokee,tobacco,Catawba,5,4,1,0.00
66,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,naval_supplies,Appalache,7,3,1,0.00
66,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,naval_supplies,Appalache,7,3,1,0.00
66,America,North America,Appalachia,mountain,pagan,ncontinental,cherokee,naval_supplies,Appalache,7,3,1,0.00
67,America,North America,Ohio,forest,pagan,tundra,cherokee,fur,Kentucky,5,3,2,0.00
67,America,North America,Ohio,forest,pagan,tundra,cherokee,fur,Kentucky,5,3,2,0.00
67,America,North America,Ohio,forest,pagan,tundra,cherokee,fur,Kentucky,5,3,2,0.00
68,America,North America,Appalachia,marsh,pagan,ncontinental,iroquis,tobacco,Chesapeake,4,6,2,0.00
68,America,North America,Appalachia,marsh,pagan,ncontinental,iroquis,tobacco,Chesapeake,4,6,2,0.00
68,America,North America,Appalachia,marsh,pagan,ncontinental,iroquis,tobacco,Chesapeake,4,6,2,0.00
69,America,North America,Appalachia,forest,pagan,tundra,iroquis,tobacco,Powhatan,4,7,2,0.00
69,America,North America,Appalachia,forest,pagan,tundra,iroquis,tobacco,Powhatan,4,7,2,0.00
69,America,North America,Appalachia,forest,pagan,tundra,iroquis,tobacco,Powhatan,4,7,2,0.00
70,America,North America,Appalachia,mountain,pagan,tundra,iroquis,iron,Shenandoah,5,5,2,0.00
70,America,North America,Appalachia,mountain,pagan,tundra,iroquis,iron,Shenandoah,5,5,2,0.00
70,America,North America,Appalachia,mountain,pagan,tundra,iroquis,iron,Shenandoah,5,5,2,0.00
71,America,North America,Ohio,forest,pagan,tundra,shawnee,fur,Erie,6,3,3,0.00
71,America,North America,Ohio,forest,pagan,tundra,shawnee,fur,Erie,6,3,3,0.00
71,America,North America,Ohio,forest,pagan,tundra,shawnee,fur,Erie,6,3,3,0.00
72,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Hindua,6,3,2,0.00
72,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Hindua,6,3,2,0.00
72,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Hindua,6,3,2,0.00
73,America,North America,Illinois,forest,pagan,tundra,shawnee,fur,Fox,5,3,2,0.00
73,America,North America,Illinois,forest,pagan,tundra,shawnee,fur,Fox,5,3,2,0.00
73,America,North America,Illinois,forest,pagan,tundra,shawnee,fur,Fox,5,3,2,0.00
74,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Milwaukee,5,3,2,0.00
74,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Milwaukee,5,3,2,0.00
74,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Milwaukee,5,3,2,0.00
75,America,North America,Kansas,plains,pagan,tundra,dakota,grain,Iowa,6,3,1,0.00
75,America,North America,Kansas,plains,pagan,tundra,dakota,grain,Iowa,6,3,1,0.00
75,America,North America,Kansas,plains,pagan,tundra,dakota,grain,Iowa,6,3,1,0.00
76,America,North America,Kansas,plains,pagan,arctic,dakota,grain,Minnesota,7,3,1,0.00
76,America,North America,Kansas,plains,pagan,arctic,dakota,grain,Minnesota,7,3,1,0.00
76,America,North America,Kansas,plains,pagan,arctic,dakota,grain,Minnesota,7,3,1,0.00
77,America,North America,Plaines,forest,pagan,arctic,dakota,fur,Mesabi,7,2,1,0.00
77,America,North America,Plaines,forest,pagan,arctic,dakota,fur,Mesabi,7,2,1,0.00
77,America,North America,Plaines,forest,pagan,arctic,dakota,fur,Mesabi,7,2,1,0.00
78,America,North America,Illinois,forest,pagan,arctic,dakota,fur,Duluth,6,3,2,0.00
78,America,North America,Illinois,forest,pagan,arctic,dakota,fur,Duluth,6,3,2,0.00
78,America,North America,Illinois,forest,pagan,arctic,dakota,fur,Duluth,6,3,2,0.00
79,America,North America,Plaines,forest,pagan,tundra,dakota,fur,Wisconsin,7,2,2,0.00
79,America,North America,Plaines,forest,pagan,tundra,dakota,fur,Wisconsin,7,2,2,0.00
79,America,North America,Plaines,forest,pagan,tundra,dakota,fur,Wisconsin,7,2,2,0.00
80,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Oskosh,6,2,2,0.00
80,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Oskosh,6,2,2,0.00
80,America,North America,Illinois,forest,pagan,tundra,dakota,fur,Oskosh,6,2,2,0.00
81,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Michilimakinak,6,3,1,0.00
81,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Michilimakinak,6,3,1,0.00
81,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Michilimakinak,6,3,1,0.00
82,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Detroit,5,3,1,0.00
82,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Detroit,5,3,1,0.00
82,America,North America,Grand Lacs,forest,pagan,tundra,shawnee,fur,Detroit,5,3,1,0.00
83,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Irondekoit,7,2,2,0.00
83,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Irondekoit,7,2,2,0.00
83,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Irondekoit,7,2,2,0.00
84,America,North America,Appalachia,forest,pagan,tundra,iroquis,fur,Tuscarora,5,4,2,0.00
84,America,North America,Appalachia,forest,pagan,tundra,iroquis,fur,Tuscarora,5,4,2,0.00
84,America,North America,Appalachia,forest,pagan,tundra,iroquis,fur,Tuscarora,5,4,2,0.00
85,America,North America,Appalachia,forest,pagan,tundra,iroquis,grain,Susquehanna,5,6,2,0.00
85,America,North America,Appalachia,forest,pagan,tundra,iroquis,grain,Susquehanna,5,6,2,0.00
85,America,North America,Appalachia,forest,pagan,tundra,iroquis,grain,Susquehanna,5,6,2,0.00
86,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,tobacco,Delaware,4,6,3,0.00
86,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,tobacco,Delaware,4,6,3,0.00
86,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,tobacco,Delaware,4,6,3,0.00
87,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,fur,Manhattan,4,7,2,0.00
87,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,fur,Manhattan,4,7,2,0.00
87,America,North America,Appalachia,forest,pagan,ncontinental,iroquis,fur,Manhattan,4,7,2,0.00
88,America,North America,Appalachia,mountain,pagan,tundra,iroquis,fur,Catskill,5,4,1,0.00
88,America,North America,Appalachia,mountain,pagan,tundra,iroquis,fur,Catskill,5,4,1,0.00
88,America,North America,Appalachia,mountain,pagan,tundra,iroquis,fur,Catskill,5,4,1,0.00
89,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Oswego,6,2,1,0.00
89,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Oswego,6,2,1,0.00
89,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Oswego,6,2,1,0.00
90,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Mohawk,7,3,2,0.00
90,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Mohawk,7,3,2,0.00
90,America,North America,Ohio,mountain,pagan,tundra,iroquis,fur,Mohawk,7,3,2,0.00
91,America,North America,Ohio,forest,pagan,tundra,iroquis,fur,Onondaga,7,3,2,0.00
91,America,North America,Ohio,forest,pagan,tundra,iroquis,fur,Onondaga,7,3,2,0.00
91,America,North America,Ohio,forest,pagan,tundra,iroquis,fur,Onondaga,7,3,2,0.00
92,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,fur,Niagara,4,4,2,0.00
92,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,fur,Niagara,4,4,2,0.00
92,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,fur,Niagara,4,4,2,0.00
93,America,North America,Grand Lacs,forest,pagan,tundra,dakota,fur,Sault,7,3,1,0.00
93,America,North America,Grand Lacs,forest,pagan,tundra,dakota,fur,Sault,7,3,1,0.00
93,America,North America,Grand Lacs,forest,pagan,tundra,dakota,fur,Sault,7,3,1,0.00
94,America,North America,Plaines,forest,pagan,arctic,huron,fur,Superior,8,2,2,0.00
94,America,North America,Plaines,forest,pagan,arctic,huron,fur,Superior,8,2,2,0.00
94,America,North America,Plaines,forest,pagan,arctic,huron,fur,Superior,8,2,2,0.00
95,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipigon,7,2,1,0.00
95,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipigon,7,2,1,0.00
95,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipigon,7,2,1,0.00
96,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipissing,7,2,1,0.00
96,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipissing,7,2,1,0.00
96,America,North America,Grand Lacs,forest,pagan,arctic,huron,fur,Nipissing,7,2,1,0.00
97,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,grain,Oshawa,4,3,2,0.00
97,America,North America,Grand Lacs,forest,pagan,tundra,iroquis,grain,Oshawa,4,3,2,0.00
